Page,Section,Order,Element Type,Text
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,25,paragraph,"Among recent additions to the Neuenburg facility is a high-resolution computed tomography (CT) system from RX Solutions, a Mitutoyo partner company. This advanced CT system is serving as a further aid to the precision manufacture of drug delivery systems required to treat conditions and diseases that include glaucoma, asthma, psoriasis, and diabetes. With almost 700 employees and a production area covering around 11,000 m² across 13 halls, the Neuenburg site is Nemera’s largest. Each year, over 1 billion dispenser systems are produced in Nemera’s factories. Providing essential healthcare in more than 54 countries, every actuation of every dispenser must offer precise delivery. This requirement and the justifiably strict legal and industry standards criteria for medical products place extremely high demands on measuring technology."
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,26,altText,NEMERANEMERA Neuenburg Facility
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,27,heading,Putting patients first
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,28,paragraph,"Anyone visiting the central metrology area at Neuenburg will see evidence of the high product quality underpinning Nemera’s pertinent strapline: “We put patients first”. One room hosts 24 tactile coordinate measuring machines (CMMs) featuring a myriad of probes for 3D measurement. Eight optical measuring devices occupy another room, while further equipment includes a Contracer CV2100 contour measuring machine. All come from a single supplier: Mitutoyo."
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,29,altText,Centralfacility
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,30,paragraph,"Sven Kister, Group Manager Metrology, says: ""Our close and trusting collaboration with Mitutoyo stretches back 32 years. Although we’re very exacting users of measurement technology, any questions we put to Mitutoyo always receive a prompt answer, especially from our contact Wolfgang Wassner. For really complex issues, we can even reach out to experts at other Mitutoyo sites.""The number of employees in quality assurance roles is a further reflection of the importance attached to high standards. As well as eight people in the central metrology area, around 50 more work across three shifts at decentralised quality control stations."
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,31,heading,A new capability
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,32,paragraph,A high-resolution computed tomography (CT) system from RX Solutions is a new addition to the measuring technology onsite at Neuenburg. Nemera invited six suppliers of CT systems to present their solutions. Mitutoyo partner RX was able to convince decision-makers for several reasons.
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,33,altText,mx-mt-nemera-4C3A8321
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,34,paragraph,"""The device, an RX Easytom S, combines fast scanning processes and high resolution with simple operation, making it ideal for both routine and demanding measurement tasks,” reveals Sven Kister. “Furthermore, it works directly with our evaluation software, ensuring easy incorporation of measurement results, which is important for certification.”"
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,35,paragraph,"Nemera uses its new CT technology for the stable 3D measurement of components and to detect inhomogeneities and cavities in product materials. Another important CT task is the measurement of microinjection moulded parts with a diameter of 2 or 4 mm. The company previously relied on the services of an external resource but can now perform this activity in-house, saving time and money."
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,36,altText,mx-mt-nemera-4C3A8303
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,37,altText,rxsolution
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,38,paragraph,"Initially, Nemera held slight reservations about its new CT system because RX is a comparatively new player in a pool of established manufacturers in this technology area. The cooperation with Mitutoyo was a helpful argument here."
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,39,paragraph,"""The measuring device convinced us from a technical standpoint, but it was only because of the collaboration between RX and Mitutoyo that we could always be sure of good support,” explains Sven Kister. After several months of use, he says the highly automated Easytom S has already become a vital quality control resource, delivering a rapid return: ""We’re now faster than our previous external service provider, which will help the investment pay for itself in less than three years.”"
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,40,heading,Fixtures: greater vertical integration
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,41,paragraph,"Noticeable around the central metrology department is the large number of fixtures and measuring tools - around 3,400 in total, all stored in SAP and most manufactured in-house. The company is currently piloting a major standardisation project in this area. A uniform platform is set to oversee the creation of all new fixtures, clamping elements, and component holders, with a validation and qualification document generated for each fixture. Mitutoyo is supporting Nemera in this task, in particular through KOMEG, a Mitutoyo subsidiary in Völklingen, which manufactures customer-specific fixtures and clamping devices."
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,42,paragraph,"Mitutoyo is supporting Nemera in this task, in particular through KOMEG, a Mitutoyo subsidiary in Völklingen, which manufactures customer-specific fixtures and clamping devices. As for the metrology software, here too Nemera relies on solutions from Mitutoyo: MCOSMOS for tactile measuring devices and QV-PAK for optical devices. Add-ons such as MCOSMOS-GEOPAK and MeasureLink round off the portfolio and facilitate compliance verification, for example. Notably, all Mitutoyo machines are connected to SAP - even the oldest one, which is now 19 years old."
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,43,altText,cmm
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,44,heading,Global harmonisation
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,45,paragraph,"Another core metrology project at Nemera is global harmonisation, with all six production sites in France, Germany, Poland, Brazil, and the USA planning to use the same measuring technology and software. Nemera is currently developing a standard for the entire group in collaboration with Mitutoyo, while ensuring compliance with the new EN ISO 13485 medical device directive. Preparations are also underway to launch a completely new business unit. At other locations, Nemera develops and manufactures its own brand of dispensers and dosing systems, with Neuenburg among the additional sites set to undertake this activity. A pen for convenient parenteral medication is the first product designed by the Neuenburg team."
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,46,paragraph,"Nemera will set up a whole new measuring technology section for the ‘Own IP’ business unit at Neuenburg, which will see ongoing expansion, again in partnership with Mitutoyo."
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,47,altText,mx-mt-nemera-4C3A8286
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,48,altText,mx-mt-nemera-4C3A8360
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,49,heading,Single point of contact
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,50,paragraph,"Alongside measuring machines for tactile and optical measurement, Nemera uses many other Mitutoyo products, including dial gauges, callipers, deflection gauges, edge probes, and more. In addition, the company’s toolmaking department operates high-precision milling machines that feature Mitutoyo measuring equipment, as well as laser measuring devices for calibrating EDM machines. And just like in 2024, Nemera is again planning the investment in two further Mitutoyo CMMs for tactile measurement."
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,51,paragraph,"Sven Kister highlights that close cooperation between the companies is not just due to product features: ""Competence is crucial, as is personal contact. If I have a measurement problem, I don't need a hotline; I just need a telephone number to call Wolfgang Wassner. He and his colleagues support us whenever we have questions. We also use Mitutoyo’s AUKOM training courses to certify our employees as measurement technicians. It’s a comprehensive partnership that will see us build the future together."""
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,main.body-container-wrapper.mty-main,52,link,Coordinate Measuring Machine
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,span6.widget-span,53,link,Follow us on Facebook
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,span6.widget-span,54,link,Follow us on LinkedIn
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,span6.widget-span,55,link,Follow us on Twitter
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,span6.widget-span,56,link,Follow us on Instagram
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,nav.mty-menu,57,listItem,Privacy Policy
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,nav.mty-menu,58,link,Privacy Policy
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,nav.mty-menu,59,listItem,Imprint
Mitutoyo and Nemera: a partnership in pharmaceutical device precision,nav.mty-menu,60,link,Imprint
